Subject,Condition,Block,Start,StairId,Trial,Distance,Response,Reversal,RT,OutlierDist,OutlierSubj
S62,simple,1,near,1,1,20,0,0,0.710592509999969,FALSE,FALSE
S62,simple,1,near,1,2,40,0,0,0.630132772000252,FALSE,FALSE
S62,simple,1,near,1,3,60,0,0,0.765637201000118,FALSE,FALSE
S62,simple,1,near,1,4,80,0,0,0.714217988999735,FALSE,FALSE
S62,simple,1,near,1,5,100,0,0,1.10920542399981,FALSE,FALSE
S62,simple,1,near,1,6,120,0,0,1.48862810299988,FALSE,FALSE
S62,simple,1,near,1,7,140,1,1,1.61007861300004,FALSE,FALSE
S62,simple,1,near,1,8,120,1,0,0.839517383999919,FALSE,FALSE
S62,simple,1,near,1,9,100,0,2,0.85468648799997,FALSE,FALSE
S62,simple,1,near,1,10,120,0,0,0.976229389000309,FALSE,FALSE
S62,simple,1,near,1,11,130,1,3,1.29969931799997,FALSE,FALSE
S62,simple,1,near,1,12,120,0,4,1.09359819200017,FALSE,FALSE
S62,simple,1,near,1,13,130,0,0,1.43409645299971,FALSE,FALSE
S62,simple,1,near,1,14,140,0,0,1.30148742200026,FALSE,FALSE
S62,simple,1,near,1,15,150,0,0,0.919569690999651,FALSE,FALSE
S62,simple,1,near,1,16,160,1,5,2.29413113500004,FALSE,FALSE
S62,simple,1,near,1,17,150,0,6,1.18646443899979,FALSE,FALSE
S62,simple,1,near,1,18,160,0,0,1.20399825799996,FALSE,FALSE
S62,simple,1,near,1,19,170,0,0,1.11285498999996,FALSE,FALSE
S62,simple,1,near,1,20,180,0,0,0.139125891000276,TRUE,TRUE
S62,simple,1,near,1,21,190,1,7,1.22156763400017,FALSE,FALSE
S62,simple,1,near,1,22,180,1,0,1.65531561599983,FALSE,FALSE
S62,simple,1,near,1,23,170,1,0,0.920343745000082,FALSE,FALSE
S62,simple,1,near,1,24,160,1,0,1.81756189499993,FALSE,FALSE
S62,simple,1,near,1,25,150,1,0,2.76558979799984,FALSE,FALSE
S62,simple,1,near,1,26,140,1,0,2.38599415599992,FALSE,FALSE
S62,simple,1,near,1,27,130,0,8,1.09029032199987,FALSE,FALSE
S62,simple,1,near,1,28,140,1,9,0.827924073999839,FALSE,FALSE
S62,simple,1,near,1,29,130,1,0,1.42900027500036,FALSE,FALSE
S62,simple,1,near,1,30,120,1,0,1.18790051199994,FALSE,FALSE
S62,simple,1,near,1,31,110,0,10,0.631165249999867,FALSE,FALSE
S62,simple,1,near,1,32,120,0,0,0.655458572000043,TRUE,FALSE
S62,simple,1,near,1,33,130,0,0,0.879994331999569,FALSE,FALSE
S62,simple,1,near,1,34,140,0,0,0.769740607000131,FALSE,FALSE
S62,simple,1,near,1,35,150,0,0,0.747367550000035,FALSE,FALSE
S62,simple,1,near,1,36,160,0,0,1.40422906200001,FALSE,FALSE
S62,simple,1,near,1,37,170,1,11,1.36398065100002,FALSE,FALSE
S62,simple,1,near,1,38,160,1,0,0.860686413000167,FALSE,FALSE
S62,simple,1,near,1,39,150,1,0,1.62739476100023,FALSE,FALSE
S62,simple,1,near,1,40,140,0,12,0.85917160200006,FALSE,FALSE
S62,simple,2,near,1,1,20,0,0,0.654431567000302,FALSE,FALSE
S62,simple,2,near,1,2,40,0,0,0.668114650999996,FALSE,FALSE
S62,simple,2,near,1,3,60,0,0,0.694113484999889,FALSE,FALSE
S62,simple,2,near,1,4,80,0,0,0.816379795000103,FALSE,FALSE
S62,simple,2,near,1,5,100,0,0,1.00536577599996,FALSE,FALSE
S62,simple,2,near,1,6,120,0,0,1.03128669699981,FALSE,FALSE
S62,simple,2,near,1,7,140,0,0,0.980405368999982,FALSE,FALSE
S62,simple,2,near,1,8,160,1,1,0.58053457799997,TRUE,FALSE
S62,simple,2,near,1,9,140,1,0,0.626498239000284,FALSE,FALSE
S62,simple,2,near,1,10,120,0,2,1.13227044599989,FALSE,FALSE
S62,simple,2,near,1,11,140,0,0,0.729591036000329,FALSE,FALSE
S62,simple,2,near,1,12,150,1,3,1.96800609599995,FALSE,FALSE
S62,simple,2,near,1,13,140,0,4,2.13051517099984,FALSE,FALSE
S62,simple,2,near,1,14,150,1,5,0.977274360000138,FALSE,FALSE
S62,simple,2,near,1,15,140,0,6,1.4340659479999,FALSE,FALSE
S62,simple,2,near,1,16,150,0,0,0.899977325000236,FALSE,FALSE
S62,simple,2,near,1,17,160,0,0,1.08704088100012,FALSE,FALSE
S62,simple,2,near,1,18,170,0,0,1.11386231000006,FALSE,FALSE
S62,simple,2,near,1,19,180,0,0,1.65313972900003,FALSE,FALSE
S62,simple,2,near,1,20,190,1,7,1.60743978299979,FALSE,FALSE
S62,simple,2,near,1,21,180,1,0,2.07034938200013,FALSE,FALSE
S62,simple,2,near,1,22,170,1,0,0.839098057000228,FALSE,FALSE
S62,simple,2,near,1,23,160,0,8,1.26280789699967,FALSE,FALSE
S62,simple,2,near,1,24,170,1,9,0.827326548000201,FALSE,FALSE
S62,simple,2,near,1,25,160,1,0,2.17481732999977,FALSE,FALSE
S62,simple,2,near,1,26,150,0,10,1.43300281100028,FALSE,FALSE
S62,simple,2,near,1,27,160,0,0,1.26358177300017,FALSE,FALSE
S62,simple,2,near,1,28,170,0,0,2.533557191,TRUE,FALSE
S62,simple,2,near,1,29,180,0,0,0.822499420999975,FALSE,FALSE
S62,simple,2,near,1,30,190,1,11,1.58600795299981,FALSE,FALSE
S62,simple,2,near,1,31,180,0,12,1.39830747099995,FALSE,FALSE
S62,simple,3,far,1,1,220,0,0,2.22562020999976,FALSE,FALSE
S62,simple,3,far,1,2,220,0,0,0.792106153000077,FALSE,FALSE
S62,simple,3,far,1,3,220,0,0,0.82589595699983,FALSE,FALSE
S62,simple,3,far,1,4,220,1,1,1.07251859799999,FALSE,FALSE
S62,simple,3,far,1,5,200,0,2,1.58453624200001,FALSE,FALSE
S62,simple,3,far,1,6,220,1,3,0.821036338999875,FALSE,FALSE
S62,simple,3,far,1,7,210,1,0,1.10310348899975,FALSE,FALSE
S62,simple,3,far,1,8,200,1,0,1.23011581299988,FALSE,FALSE
S62,simple,3,far,1,9,190,0,4,1.63200778100008,FALSE,FALSE
S62,simple,3,far,1,10,200,1,5,1.62071484500029,FALSE,FALSE
S62,simple,3,far,1,11,190,1,0,1.59294657100008,FALSE,FALSE
S62,simple,3,far,1,12,180,1,0,0.936075970000275,FALSE,FALSE
S62,simple,3,far,1,13,170,1,0,0.860874153999703,FALSE,FALSE
S62,simple,3,far,1,14,160,0,6,1.62370419099989,FALSE,FALSE
S62,simple,3,far,1,15,170,0,0,1.47442733699972,FALSE,FALSE
S62,simple,3,far,1,16,180,0,0,1.32212787700018,FALSE,FALSE
S62,simple,3,far,1,17,190,1,7,0.932849996000186,FALSE,FALSE
S62,simple,3,far,1,18,180,1,0,0.97572299300009,FALSE,FALSE
S62,simple,3,far,1,19,170,1,0,1.04616467999995,FALSE,FALSE
S62,simple,3,far,1,20,160,1,0,2.18415230200026,FALSE,FALSE
S62,simple,3,far,1,21,150,1,0,3.08316371499996,FALSE,FALSE
S62,simple,3,far,1,22,140,0,8,0.896162431999983,FALSE,FALSE
S62,simple,3,far,1,23,150,0,0,0.787151605999952,FALSE,FALSE
S62,simple,3,far,1,24,160,0,0,1.13294640200002,FALSE,FALSE
S62,simple,3,far,1,25,170,1,9,1.45807124900011,FALSE,FALSE
S62,simple,3,far,1,26,160,0,10,1.38963502600018,FALSE,FALSE
S62,simple,3,far,1,27,170,1,11,2.03290428399987,FALSE,FALSE
S62,simple,3,far,1,28,160,1,0,1.80698605199996,FALSE,FALSE
S62,simple,3,far,1,29,150,0,12,1.25386850699988,FALSE,FALSE
S62,simple,4,far,1,1,220,0,0,0.771057525999822,FALSE,FALSE
S62,simple,4,far,1,2,220,1,1,1.41595059099973,FALSE,FALSE
S62,simple,4,far,1,3,200,1,0,1.10499224800014,FALSE,FALSE
S62,simple,4,far,1,4,180,1,0,0.796673343999828,FALSE,FALSE
S62,simple,4,far,1,5,160,0,2,2.408986379,FALSE,FALSE
S62,simple,4,far,1,6,180,0,0,0.793857424999715,FALSE,FALSE
S62,simple,4,far,1,7,190,0,0,1.61961302400005,FALSE,FALSE
S62,simple,4,far,1,8,200,1,3,1.81859863799991,FALSE,FALSE
S62,simple,4,far,1,9,190,1,0,1.07030066899961,FALSE,FALSE
S62,simple,4,far,1,10,180,1,0,0.798402483000245,FALSE,FALSE
S62,simple,4,far,1,11,170,1,0,0.873214516000189,FALSE,FALSE
S62,simple,4,far,1,12,160,0,4,0.929700486000002,FALSE,FALSE
S62,simple,4,far,1,13,170,0,0,0.8567896630002,FALSE,FALSE
S62,simple,4,far,1,14,180,0,0,0.716354718000275,FALSE,FALSE
S62,simple,4,far,1,15,190,0,0,0.792939605999891,FALSE,FALSE
S62,simple,4,far,1,16,200,0,0,1.17404827500013,FALSE,FALSE
S62,simple,4,far,1,17,210,0,0,0.806205044999842,FALSE,FALSE
S62,simple,4,far,1,18,220,0,0,1.21809871000005,FALSE,FALSE
S62,simple,4,far,1,19,220,1,5,0.676603473999876,FALSE,FALSE
S62,simple,4,far,1,20,210,1,0,0.919222513000022,FALSE,FALSE
S62,simple,4,far,1,21,200,1,0,1.37426378099963,FALSE,FALSE
S62,simple,4,far,1,22,190,1,0,0.775179431000197,FALSE,FALSE
S62,simple,4,far,1,23,180,1,0,0.892159859000003,FALSE,FALSE
S62,simple,4,far,1,24,170,0,6,1.33375000199976,FALSE,FALSE
S62,simple,4,far,1,25,180,1,7,1.46431195600007,FALSE,FALSE
S62,simple,4,far,1,26,170,1,0,1.80326095300006,FALSE,FALSE
S62,simple,4,far,1,27,160,1,0,1.53262216999974,FALSE,FALSE
S62,simple,4,far,1,28,150,0,8,0.772831577000034,FALSE,FALSE
S62,simple,4,far,1,29,160,0,0,0.0597155140003451,TRUE,TRUE
S62,simple,4,far,1,30,170,0,0,2.50633653000023,FALSE,FALSE
S62,simple,4,far,1,31,180,0,0,2.19939114999988,FALSE,FALSE
S62,simple,4,far,1,32,190,1,9,0.74600515200018,FALSE,FALSE
S62,simple,4,far,1,33,180,0,10,2.15236719199993,FALSE,FALSE
S62,simple,4,far,1,34,190,0,0,1.12378493599999,FALSE,FALSE
S62,simple,4,far,1,35,200,1,11,1.18478406199984,FALSE,FALSE
S62,simple,4,far,1,36,190,0,12,0.771457326000018,FALSE,FALSE
S62,dual,1,far,1,1,220,1,0,1.67135411300001,FALSE,FALSE
S62,dual,1,far,1,2,200,1,0,1.51407339100001,FALSE,FALSE
S62,dual,1,far,1,3,180,1,0,1.36360940700001,FALSE,FALSE
S62,dual,1,far,1,4,160,0,1,1.54062946299996,FALSE,FALSE
S62,dual,1,far,1,5,180,1,2,1.01056094799992,FALSE,FALSE
S62,dual,1,far,1,6,160,1,0,0.975031916000034,FALSE,FALSE
S62,dual,1,far,1,7,150,0,3,1.08076834799999,FALSE,FALSE
S62,dual,1,far,1,8,160,0,0,2.052881286,FALSE,FALSE
S62,dual,1,far,1,9,170,0,0,1.69445283999994,FALSE,FALSE
S62,dual,1,far,1,10,180,0,0,0.887853918000019,FALSE,FALSE
S62,dual,1,far,1,11,190,0,0,0.62760138800013,TRUE,FALSE
S62,dual,1,far,1,12,200,0,0,0.766409092000004,FALSE,FALSE
S62,dual,1,far,1,13,210,0,0,0.842758636000099,FALSE,FALSE
S62,dual,1,far,1,14,220,1,4,1.69343378300005,FALSE,FALSE
S62,dual,1,far,1,15,210,1,0,1.55818068000008,FALSE,FALSE
S62,dual,1,far,1,16,200,1,0,1.35815816800005,FALSE,FALSE
S62,dual,1,far,1,17,190,1,0,0.857935447000045,FALSE,FALSE
S62,dual,1,far,1,18,180,1,0,1.31297306100009,FALSE,FALSE
S62,dual,1,far,1,19,170,0,5,1.37677490999999,FALSE,FALSE
S62,dual,1,far,1,20,180,0,0,1.27385604599999,FALSE,FALSE
S62,dual,1,far,1,21,190,1,6,1.76979777500014,FALSE,FALSE
S62,dual,1,far,1,22,180,1,0,1.57759735699983,FALSE,FALSE
S62,dual,1,far,1,23,170,0,7,1.9446363510001,FALSE,FALSE
S62,dual,1,far,1,24,180,0,0,1.26299275299993,FALSE,FALSE
S62,dual,1,far,1,25,190,0,0,1.26061281800003,FALSE,FALSE
S62,dual,1,far,1,26,200,0,0,1.68655382100019,FALSE,FALSE
S62,dual,1,far,1,27,210,0,0,1.20828029299992,FALSE,FALSE
S62,dual,1,far,1,28,220,1,8,1.58361665100006,FALSE,FALSE
S62,dual,1,far,1,29,210,1,0,1.80051770199998,FALSE,FALSE
S62,dual,1,far,1,30,200,0,9,0.621330793000197,FALSE,FALSE
S62,dual,1,far,1,31,210,0,0,0.741429321000169,FALSE,FALSE
S62,dual,1,far,1,32,220,0,0,0.859647106000011,FALSE,FALSE
S62,dual,1,far,1,33,220,1,10,0.637031088999947,FALSE,FALSE
S62,dual,1,far,1,34,210,1,0,1.64256961000001,FALSE,FALSE
S62,dual,1,far,1,35,200,0,11,1.54269402900013,FALSE,FALSE
S62,dual,1,far,1,36,210,1,12,0.728456241999993,FALSE,FALSE
S62,dual,1,far,2,1,20,0,0,0.777691453999978,FALSE,FALSE
S62,dual,1,far,2,2,40,0,0,0.783911064999984,FALSE,FALSE
S62,dual,1,far,2,3,60,0,0,0.706034514000066,FALSE,FALSE
S62,dual,1,far,2,4,80,0,0,0.779174152999985,FALSE,FALSE
S62,dual,1,far,2,5,100,0,0,0.758547372000066,FALSE,FALSE
S62,dual,1,far,2,6,120,0,0,0.644871184000067,FALSE,FALSE
S62,dual,1,far,2,7,140,0,0,1.87103526300007,FALSE,FALSE
S62,dual,1,far,2,8,160,0,0,3.24639183399995,FALSE,FALSE
S62,dual,1,far,2,9,180,0,0,1.47937981299992,FALSE,FALSE
S62,dual,1,far,2,10,200,0,0,0.781656358999953,FALSE,FALSE
S62,dual,1,far,2,11,220,0,0,0.797136550999994,FALSE,FALSE
S62,dual,1,far,2,12,220,0,0,0.63037244599991,FALSE,FALSE
S62,dual,1,far,2,13,220,0,0,0.632459215999916,FALSE,FALSE
S62,dual,1,far,2,14,220,1,1,0.775383189999957,FALSE,FALSE
S62,dual,1,far,2,15,200,1,0,1.9593090190001,FALSE,FALSE
S62,dual,1,far,2,16,180,1,0,1.08608993200005,FALSE,FALSE
S62,dual,1,far,2,17,160,1,0,1.37904395500004,FALSE,FALSE
S62,dual,1,far,2,18,140,0,2,0.931469290999985,FALSE,FALSE
S62,dual,1,far,2,19,160,0,0,0.983514409999998,FALSE,FALSE
S62,dual,1,far,2,20,170,0,0,1.31936709499996,FALSE,FALSE
S62,dual,1,far,2,21,180,1,3,1.23421668600008,FALSE,FALSE
S62,dual,1,far,2,22,170,1,0,1.40131034899991,FALSE,FALSE
S62,dual,1,far,2,23,160,0,4,0.915024669999866,FALSE,FALSE
S62,dual,1,far,2,24,170,0,0,0.704418901000054,TRUE,FALSE
S62,dual,1,far,2,25,180,0,0,2.04794163699989,TRUE,FALSE
S62,dual,1,far,2,26,190,0,0,1.21328560100005,FALSE,FALSE
S62,dual,1,far,2,27,200,1,5,2.00703606000002,FALSE,FALSE
S62,dual,1,far,2,28,190,1,0,1.53268370299998,FALSE,FALSE
S62,dual,1,far,2,29,180,1,0,1.14503489100002,FALSE,FALSE
S62,dual,1,far,2,30,170,0,6,1.50644823300013,FALSE,FALSE
S62,dual,1,far,2,31,180,0,0,0.898709116999953,FALSE,FALSE
S62,dual,1,far,2,32,190,0,0,1.8072015780001,FALSE,FALSE
S62,dual,1,far,2,33,200,1,7,1.90025556299997,FALSE,FALSE
S62,dual,1,far,2,34,190,0,8,1.97563534300002,FALSE,FALSE
S62,dual,1,far,2,35,200,0,0,1.77516456799981,FALSE,FALSE
S62,dual,1,far,2,36,210,1,9,1.425420132,FALSE,FALSE
S62,dual,1,far,2,37,200,0,10,2.37619564400006,FALSE,FALSE
S62,dual,1,far,2,38,210,0,0,1.63384399300003,FALSE,FALSE
S62,dual,1,far,2,39,220,1,11,2.62474010799997,FALSE,FALSE
S62,dual,1,far,2,40,210,1,0,2.58257174300002,FALSE,FALSE
S62,dual,1,far,2,41,200,1,0,1.05511778200002,FALSE,FALSE
S62,dual,1,far,2,42,190,1,0,1.19553408199999,FALSE,FALSE
S62,dual,1,far,2,43,180,1,0,1.09743717900005,FALSE,FALSE
S62,dual,1,far,2,44,170,1,0,1.53365589200007,FALSE,FALSE
S62,dual,1,far,2,45,160,0,12,1.14933840000003,FALSE,FALSE
S62,dual,2,near,1,1,20,0,0,0.697493392000069,FALSE,FALSE
S62,dual,2,near,1,2,40,0,0,0.7755260859999,FALSE,FALSE
S62,dual,2,near,1,3,60,0,0,1.01983256300036,FALSE,FALSE
S62,dual,2,near,1,4,80,0,0,0.836520367000048,FALSE,FALSE
S62,dual,2,near,1,5,100,0,0,0.78721976199995,FALSE,FALSE
S62,dual,2,near,1,6,120,0,0,0.830733650000184,FALSE,FALSE
S62,dual,2,near,1,7,140,0,0,1.82774568100012,FALSE,FALSE
S62,dual,2,near,1,8,160,0,0,0.957370591000199,FALSE,FALSE
S62,dual,2,near,1,9,180,0,0,0.78307621499971,FALSE,FALSE
S62,dual,2,near,1,10,200,0,0,1.32191703400031,FALSE,FALSE
S62,dual,2,near,1,11,220,1,1,0.708681373000218,FALSE,FALSE
S62,dual,2,near,1,12,200,0,2,0.991474819999894,FALSE,FALSE
S62,dual,2,near,1,13,220,1,3,1.04820826500008,FALSE,FALSE
S62,dual,2,near,1,14,210,0,4,1.85723048999989,FALSE,FALSE
S62,dual,2,near,1,15,220,0,0,0.81519119099994,FALSE,FALSE
S62,dual,2,near,1,16,220,1,5,2.19943477100014,FALSE,TRUE
S62,dual,2,near,1,17,210,1,0,2.12908806299993,FALSE,TRUE
S62,dual,2,near,1,18,200,0,6,0.732630793000226,FALSE,FALSE
S62,dual,2,near,1,19,210,0,0,0.826080184000148,FALSE,FALSE
S62,dual,2,near,1,20,220,1,7,0.852214302999982,FALSE,FALSE
S62,dual,2,near,1,21,210,1,0,0.736450821999824,FALSE,FALSE
S62,dual,2,near,1,22,200,0,8,0.730595324000205,FALSE,FALSE
S62,dual,2,near,1,23,210,0,0,0.719306957999834,FALSE,FALSE
S62,dual,2,near,1,24,220,0,0,1.22842429299999,FALSE,FALSE
S62,dual,2,near,1,25,220,0,0,1.53784128300003,FALSE,FALSE
S62,dual,2,near,1,26,220,0,0,0.769738116000099,FALSE,FALSE
S62,dual,2,near,1,27,220,1,9,1.75118619700015,FALSE,FALSE
S62,dual,2,near,1,28,210,1,0,0.721395547999691,FALSE,FALSE
S62,dual,2,near,1,29,200,1,0,1.1233132819998,FALSE,FALSE
S62,dual,2,near,1,30,190,0,10,1.94327878900003,FALSE,FALSE
S62,dual,2,near,1,31,200,1,11,0.68428985699984,FALSE,FALSE
S62,dual,2,near,1,32,190,1,0,0.775517298000068,FALSE,FALSE
S62,dual,2,near,1,33,180,1,0,0.802747666999949,FALSE,FALSE
S62,dual,2,near,1,34,170,0,12,1.66708329700032,TRUE,FALSE
S62,dual,2,near,2,1,220,1,0,1.92609070800017,FALSE,FALSE
S62,dual,2,near,2,2,200,1,0,1.09078320699973,FALSE,FALSE
S62,dual,2,near,2,3,180,1,0,1.57100904900017,TRUE,FALSE
S62,dual,2,near,2,4,160,1,0,0.912603839999974,FALSE,FALSE
S62,dual,2,near,2,5,140,0,1,2.83995469199999,FALSE,TRUE
S62,dual,2,near,2,6,160,1,2,2.49405710700012,TRUE,TRUE
S62,dual,2,near,2,7,140,0,3,0.731594571999722,FALSE,FALSE
S62,dual,2,near,2,8,150,0,0,0.774677529999735,FALSE,FALSE
S62,dual,2,near,2,9,160,0,0,0.687472154999796,FALSE,FALSE
S62,dual,2,near,2,10,170,1,4,0.901929609000035,FALSE,FALSE
S62,dual,2,near,2,11,160,1,0,0.695867246000034,FALSE,FALSE
S62,dual,2,near,2,12,150,0,5,0.943177765999735,FALSE,FALSE
S62,dual,2,near,2,13,160,0,0,0.778218601999924,FALSE,FALSE
S62,dual,2,near,2,14,170,0,0,0.760659739999937,FALSE,FALSE
S62,dual,2,near,2,15,180,0,0,0.754631535000044,FALSE,FALSE
S62,dual,2,near,2,16,190,1,6,1.22793527400017,FALSE,FALSE
S62,dual,2,near,2,17,180,0,7,0.644590336999954,FALSE,FALSE
S62,dual,2,near,2,18,190,0,0,0.670514488000208,FALSE,FALSE
S62,dual,2,near,2,19,200,1,8,1.14028126999983,FALSE,FALSE
S62,dual,2,near,2,20,190,1,0,0.771871136999835,FALSE,FALSE
S62,dual,2,near,2,21,180,1,0,0.735663270000259,FALSE,FALSE
S62,dual,2,near,2,22,170,0,9,0.91833997699996,FALSE,FALSE
S62,dual,2,near,2,23,180,0,0,0.900349777999963,FALSE,FALSE
S62,dual,2,near,2,24,190,0,0,0.671722534999844,FALSE,FALSE
S62,dual,2,near,2,25,200,0,0,1.0720689169998,FALSE,FALSE
S62,dual,2,near,2,26,210,0,0,0.907364398000027,FALSE,FALSE
S62,dual,2,near,2,27,220,1,10,0.715715868000188,FALSE,FALSE
S62,dual,2,near,2,28,210,1,0,1.06865587900029,FALSE,FALSE
S62,dual,2,near,2,29,200,1,0,0.753749433999928,FALSE,FALSE
S62,dual,2,near,2,30,190,0,11,1.54636896300008,FALSE,FALSE
S62,dual,2,near,2,31,200,1,12,0.802850391999982,FALSE,FALSE